spc_latin,latitude,longitude,tree_dbh
Quercus phellos,40.73790475,-73.98663375,21
Quercus phellos,40.73754942,-73.98578864,32
Platanus x acerifolia,40.73822791,-73.9858434,23
Morus,40.73557266,-73.98654345,44
Platanus x acerifolia,40.73812811,-73.9856071,22
Quercus phellos,40.73772045,-73.9861954,22
Quercus phellos,40.73845662,-73.98653171,32
Quercus phellos,40.7377721,-73.98631825,25
Quercus phellos,40.73617128,-73.98615437,23
Fraxinus pennsylvanica,40.73032227,-73.98824998,22
Prunus virginiana,40.72912257,-73.98540648,1
Acer palmatum,40.72931782,-73.98586774,1
Fraxinus pennsylvanica,40.72938321,-73.98602223,1
Prunus virginiana,40.72913191,-73.98542855,1
Ginkgo biloba,40.73106774,-73.98816856,1
Quercus palustris,40.73042174,-73.98663848,22
Platanus x acerifolia,40.73144195,-73.98680236,21
Styphnolobium japonicum,40.73267664,-73.98595312,21
Metasequoia glyptostroboides,40.70237278,-74.01143532,1
Platanus x acerifolia,40.7034277,-74.01455246,21
Platanus x acerifolia,40.70410534,-74.01443096,22
Pyrus calleryana,40.70503302,-74.00782846,1
Platanus x acerifolia,40.70662621,-74.01416475,21
Pyrus calleryana,40.71730738,-74.01332574,88
Platanus x acerifolia,40.71483044,-74.00217259,24
Platanus x acerifolia,40.72030374,-73.97706196,25
Platanus x acerifolia,40.72027795,-73.97700197,23
Quercus palustris,40.71913763,-73.97572139,1
Pyrus calleryana,40.72701531,-73.97459226,22
Gleditsia triacanthos var. inermis,40.7254068,-73.97798891,21
Pyrus calleryana,40.72707231,-73.97472728,21
Gleditsia triacanthos var. inermis,40.7248843,-73.97836775,21
Tilia cordata,40.723788,-73.97831204,21
Gleditsia triacanthos var. inermis,40.72515825,-73.97781783,1
Platanus x acerifolia,40.72986421,-73.97880979,21
Platanus x acerifolia,40.73018937,-73.97958726,24
Platanus x acerifolia,40.72982414,-73.97871399,22
Platanus x acerifolia,40.72990348,-73.97890369,21
Platanus x acerifolia,40.73078397,-73.98100031,22
Platanus x acerifolia,40.7301427,-73.97947565,21
Platanus x acerifolia,40.72934247,-73.97755661,21
